Array size,HeapSort comparisons,MergeSort comparisons,InsertionSort comparisons
2,13.64,15,5
4,39.88,50.3,16.84
8,103.96,136.32,53.8
16,265.2,340.08,176.52
32,651.4,812.26,613.32
64,1544.88,1881.52,2266.4
128,3591,4281.92,8666.64
256,8190.36,9588.38,33533.2
512,18409.2,21231.5,132674
1024,40901.4,46555.7,527805
2048,89975.4,101316,2.10728e+006
4096,196338,219015,8.40467e+006
8192,425466,470792,3.35866e+007
16384,916334,1.00714e+006,1.34286e+008
32768,1.96375e+006,2.14534e+006,5.37067e+008
65536,4.18975e+006,4.55284e+006,4.30549e+007
131072,8.90367e+006,9.62995e+006,-2.52771e+006
